plate,review_reason_code,customer_meaning,reviewer_comments,status
AZIZ714,2,LAST NAME,714 AREA CODE,N
BATBOX1,1,BATMOBILE (BATMAN) PLUS SHAPE OF VEHICLE (SCION XB),BOX,N
BBOMBS,2,NO MICRO AVAILABLE,BOMBS,N
BEACHY1,4,LOVE THE BEACH,BEACHY LOOKS LIKE BITCHY 1,N
BLK PWR5,2,STRENGTH OF FAMILY,BLACK POWER,N
BOT TAK,,THIS IS IT,CAN NOT TRANSLATE,N
CHERIPI,1,CHERRY PIE,CHERRY PIE,N
CIO FTW,4,NO MICRO AVAILABLE,FUCK THE WORLD,N
DAVES88,2,DAVES 1988 TOYOTA,88 HITLER REFRENCE,N
DMOBGFY,2,GREEK SLANG FOR I LOVE YOU,MOB,N
DOITFKR,4,DO IT,DO IT FUCKER,N
EGGPUTT,2,NO MICRO AVAILABLE,SLANG FOR FAT GUY PER URBAN DICTIONARY,Y
F DIABDZ,2,IT MEANS FOREVER DIABETES. ITS ARE DIABETES FOUNDATION WE WALK EVERY YEAR.,FUCK DIABETES,N
FJ 666,2,FJ IS MY BORN CITY.666IS MY LUCKLY NUMBER,666 EVIL,Y
FKK OFF,2,FREIKÖRPER-KULTUR (GERMAN),FUCK OFF,N
FKN BLAK,2,"FKN IS INITIALS FOR MY 3 GREAT GRANDMAS FRANCINE, KAREN AND ""N"" FOR NANNY. AND THE WORD BLAK ""BLACK"" BECAUSE MY CAR APPEARS BLACK",FUCKING BLACK,N
FLT ATCK,2,NO MICRO AVAILABLE,FLAT ATTACK,N
F LUPUS,2,FIGHT LUPUS,FUCK LUPUS,N
HVNNHEL,2,ALBUM TITLE,HEAVEN AND HELL,Y
H8DES,2,FAVORITE GREEK MYTH,HATE DES,N
ILL NKA,2,"""ILL"" POPULAR TERM IN THE 90'S MEANING COOL. ""NKA"" SHORTER FOR MY NICKNAME 'NEIKA'.",ILL NIGGA,N
JIMENZ5,2,LAST NAME,JIMENEZ,REMOVE
KISMI S,2,MY NICKNAME IS KISMMIE AND MY REAL NAME STARTS WITH AN S,KISS MY ASS,N
LHGLA88,2,TRAVEL THROUGH LOS ANGELES,88 HITLER REFERENCE,N
MMA515O,2,MIXED MARTIAL ARTS,5150 CRAZY,Y
MTN SCAT,2,MOUNTAIN SCAT PACK,SCAT SHIT,N
OAK KLAN,2,CITY I GREW UP IN.,KLAN,N
PORKS15,5,NO MICRO AVAILABLE,PORKS PIG,N
POT POM,2,NO MICRO AVAILABLE,POT,N
PSYCDVA,1,PSYCHOLOGIST DIVA,PSY LOOKS LIKE PUSSY OR COULD BE PSYCHIC,N
PSYKD,1,PSYCHED,PSY LOOKS LIKE PUSSY OR COULD BE PSYCHED,N
ROBO 911,5,ROBO IS MY NICK NAME AND 911 FOR THE CAR ITS GOING ON,911 EMERGENCY,N
SHTYMNI,2,SHORTY MINI,SHITTY MINI,N
1MONGO,2,OUR SON'S NICKNAME IS MONGO. IT'S FOR HIS FIRST CAR.,LOOKS LIKE MONGOL THE MOTORCYCLE GANG,N
173D82D,2,NO MICRO AVAILABLE,CAN NOT TRANSLATE,Y
67 PINK,1,NO MICRO AVAILABLE,PINK,N
707IRON,2,WEIGHT TRAINING REFERENCE SONOMA COUNTY,707 AREA CODE,N
MI HYNA,2,NO MICRO AVAILABLE,GANGSTER GIRL OR CHOLA,N
DAD$PP,2,MY DAD LOVES ME AND GOT ME A NEW CAR,PP AS IN URINE,N
GAMMI$G,2,GRANDMA GOOLSBY,G AS IN GANGSTER,Y
G$DSKK,2,GRAM LOVES DOMINIC SOPHIE KAILANI KEANU. MY GRANDKIDS,G AS IN GANGSTER,Y
FN2IB7,2,FN2187 IS A STAR WARS CHARACTER AND I AM A VETERAN,LOOKS LIKE EFFIN,N
CAN BITE,1,NO MICRO AVAILABLE,CAN BITE,N
FRESD18,2,NO MICRO AVAILABLE,18 HITLER,N
KILLAHB,2,LOVE THE MOVIE,KILLAH B,N
KILLAHW,2,LOVE THE MOVIE,KILLA,N
NO GAS X,2,ALL ELECTRIC CAR MODEL X,GAS,Y
TTNISMO,2,TWIN TURBO NISMO,TT AS IN BREAST,Y
1FD MOM,1,ONE FIRE DEPARTMENT MOM,FD LOOKS LIKE EFFED,N
88 VERT,2,1988 CONVERTIBLE,88 HITLER REFERENCE,N
HB 707,2,MOTORCYCLE CLUB,707 AREA CODE,N
ELIKA13,2,ERIC IN HAWAIIAN AND LUCKY NUMBER,13 GANG REFERENCE,N
BAD FN68,3,BAD FUN 68,BAD FUCKIN 68,N
BRUJO 13,7,BACK IN HIGH SCHOOL MY NICKNAME WAS BRUJO AND MY FAVORITE NUMBER IS 13,13-GANG,N
C4 MILES,7,SEE FOR MILES,SEE FOR MILES… C4-BOMB,N
DAAFAK,3,MY SON'S NAME,THE FUCK,N
DATT ASS,1,POINTING OUT HOW GOOD THE REAR END OF MY CAR LOOKS,THAT ASS,N
DNKY PCH,1,DOWN COUNTRY PUNCH IS A DRINK THAT MY FAMILY MAKES AND IS KNOWN FOR,DONKEY PUNCH,N
FCUK BOI,3,FANBOY FOR FRENCH CONNECTION AND DESIGNER APPAREL,FUCK BOY,N
F OMG,3,DAUGHTERS INITIALS,FUCK OH MY GOD,N
FSH BALL,1,FISH BALL,FISH… BALL… SOME SORT OF SEXUAL?,N
GUN4HYR,7,A CONSTRUCTION WORKER THAT FOLLOWS THE MONEY AND JUMPS FROM COMPANY TO COMPANY,GUN FOR HIRE,N
LCPSY18,4,FIST AND LAST INITIAL OF NAME. PSYCHOLOGY PROFESSOR,18-HITLER,N
LILBLKB,7,LITTLE BLACK BEE,LIL BLACK BITCH? LAST NAME IS BLACK,N
LYFISHT,3,LIFE IS SHORT,LIFE IS SHIT,N
MZ MOLY,7,THIS IS MY CARS NAME. SHE IS A 38 YEAR OLD STRAWBERRY BLONDE GIRL. MOLY,MOLLY…. ECSTASY,N
NAVA 14,4,NAME BIRTHDAY,14-HITLER,N
OG PLAY,7,CHILDHOOD NICKNAME,OG,N
OG RICE,7,OLD GUARD RICE,OG,N
OPNWIDE,1,REFERS TO MY PROFESSIONAL LINE OF WORK AS A DENTIST,"SEXUAL? OPEN LEGS, OPEN MOUTH?",N
OR DX,1,OREGON DUCKS,OR DICKS,N
OVOGANG,7,AN ATRISTS MOTO. HE REFERS TO HIS FANS AS GANG MEANING FAMILY,GANG,N
RAJO42O,7,NAME MONTH DAY CAME TO AMERICA,420-WEED,N
RJ X 88,4,MY ENGLISH FIRST NAME AND YEAR OF BIRTH,88-HITLER,N
RMBO562,7,RAMBO IS MY NICKNAME FROM WHEN IW AS A CHILD. EVERYONE KNOWS ME AS RAMBO. 562 IS MY AREA CODE FROM LONG BEACH,562 CUSTOMERS AREA CODE,N
ROAK14,4,FIST INITIAL FOR FAMILY MEMBERS,14-HITLER,N
RSPEC13,7,CAR MODEL AND YEAR,13-GANG,N
UBRS 51O,7,UBER IS MY INTERNET LOG ON AND 510 IS THE MODEL OF MY CAR,510 CA AREA CODE,N
VTARDED,4,CADILLAC MODEL CTS-V. VERY FAST,TARDED… RETARDED?,N
YBEAZZY,3,NICKNAME,BEEZY. BITCH,N
YR ONE69,1,YEAR OF MY 1969 CAMARO,COULDN'T VERIFY 1969,N
1LOWPIG,4,"THIS LICENSE PLATE WILL BE PLACED ON A DAILY DRIVEN SHOW TRUCK NAMED ""THE RED PIG"" USED FOR SHOW COVERAGE AND MAGAZINE PURPOSES",PIG,N
2BUCK U,3,I WENT TO SAN JOSE STATE. MY SON DID NOT WANT TO GO TO A STATE SCHOOL. HE WENT TO TCU. HE CALLED MY COLLEGE TWO BUCK U.,TO FUCK YOU? BUCK YOU-HIT YOU?,N
